time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-27T16:58:44.926Z,52.3806,-170.367,35,2.8,ml,,209,0.528,0.94,us,us7000gm9y,2022-04-09T20:19:11.040Z,"119 km WSW of Nikolski, Alaska",earthquake,7.1,2,0.105,12,reviewed,us,us
2022-01-27T10:48:05.135Z,54.6696,-159.7191,24.54,3.6,ml,,208,0.178,0.85,us,us7000gfih,2022-04-09T20:19:10.040Z,"89 km SSE of Sand Point, Alaska",earthquake,5.1,8.8,0.077,22,reviewed,us,us
2022-01-27T09:47:42.307Z,52.4023,-167.5776,10,3.9,mb,,138,0.964,1.26,us,us7000gfic,2022-04-09T20:19:10.040Z,"105 km SE of Nikolski, Alaska",earthquake,4.3,1.9,0.08,41,reviewed,us,us
2022-01-27T08:05:54.146Z,54.7094,-161.4927,35,3,ml,,201,0.548,0.56,us,us7000gm9j,2022-04-09T20:19:10.040Z,"65 km SE of King Cove, Alaska",earthquake,1.5,2,0.085,18,reviewed,us,us
2022-01-27T07:32:15.876Z,54.4736,-163.2403,10,2.7,ml,,174,0.397,0.36,us,us7000gm9i,2022-04-09T20:19:10.040Z,"43 km SSE of False Pass, Alaska",earthquake,2.3,1.8,0.105,12,reviewed,us,us
2022-01-27T06:48:26.637Z,52.7921,-169.7186,10,3.2,ml,,189,0.111,0.65,us,us7000gm9g,2022-04-09T20:19:09.040Z,"59 km WSW of Nikolski, Alaska",earthquake,3.9,1.8,0.105,12,reviewed,us,us
2022-01-27T05:46:29.239Z,56.3002,-159.6526,159.8,3,ml,,,,0.65,ak,ak02218qrgjg,2022-04-09T20:19:09.040Z,"45 km NNW of Ivanof Bay, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2022-01-27T02:49:22.733Z,52.4978,-169.4379,10,2.8,ml,,268,0.429,0.29,us,us7000gm9r,2022-04-09T20:19:09.040Z,"62 km SW of Nikolski, Alaska",earthquake,2.4,1.8,0.128,8,reviewed,us,us
2022-01-27T00:28:32.559Z,53.1742,-166.706,31.47,2.9,ml,,209,0.629,0.31,us,us7000gm9d,2022-04-09T20:19:08.040Z,"78 km S of Unalaska, Alaska",earthquake,3.6,10.3,0.097,14,reviewed,us,us
2022-01-26T21:05:18.824Z,54.6326,-163.663,16.94,2.8,ml,,162,0.096,0.53,us,us7000glrv,2022-05-05T20:47:43.049Z,"29 km SSW of False Pass, Alaska",earthquake,2.6,3.1,0.091,16,reviewed,us,us
2022-01-26T20:33:18.695Z,53.052,-166.5772,23.65,2.7,ml,,228,0.764,0.42,us,us7000glre,2022-05-05T20:44:43.339Z,"91 km S of Unalaska, Alaska",earthquake,5,6.6,0.097,14,reviewed,us,us
2022-01-25T22:52:43.030Z,51.2464,-170.9081,10,4,mb,,142,1.699,1.05,us,us7000gf61,2022-04-09T20:19:03.040Z,"234 km SW of Nikolski, Alaska",earthquake,5.4,1.7,0.096,29,reviewed,us,us
2022-01-25T22:50:26.311Z,53.1325,-166.6273,35,3,ml,,218,0.679,0.82,us,us7000glh8,2022-04-09T20:19:03.040Z,"82 km S of Unalaska, Alaska",earthquake,3,2,0.115,10,reviewed,us,us
2022-01-25T21:56:36.689Z,54.491,-163.2607,10,3.8,mb,,171,0.352,0.34,us,us7000gf42,2022-04-09T20:19:03.040Z,"41 km SSE of False Pass, Alaska",earthquake,2.4,1.4,0.227,5,reviewed,us,us
2022-01-25T21:12:47.227Z,55.2015,-157.7781,26.7,2.6,ml,,,,0.46,ak,ak02215p0gaa,2022-04-09T20:19:03.040Z,"116 km SE of Perryville, Alaska",earthquake,,2.4,,,reviewed,ak,ak
2022-01-25T17:33:07.774Z,52.4024,-168.6525,35,2.7,ml,,220,0.583,0.91,us,us7000glh6,2022-04-09T20:19:02.040Z,"61 km SSE of Nikolski, Alaska",earthquake,4,2,0.079,21,reviewed,us,us
2022-01-25T10:46:17.915Z,52.1069,-170.4447,10,3.2,ml,,216,0.792,0.89,us,us7000glhe,2022-04-09T20:19:02.040Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,4.7,2,0.079,21,reviewed,us,us
2022-01-25T06:37:36.651Z,52.0257,-167.1897,10,3,ml,,225,1.391,0.34,us,us7000glh0,2022-04-09T20:19:01.040Z,"152 km SE of Nikolski, Alaska",earthquake,2.8,2,0.081,20,reviewed,us,us
2022-01-25T05:13:00.742Z,53.9016,-165.2174,69.66,2.5,ml,,195,0.402,0.17,us,us7000glgz,2022-04-09T20:19:01.040Z,"44 km SE of Akutan, Alaska",earthquake,11.5,18.8,0.097,14,reviewed,us,us
2022-01-25T02:08:28.533Z,51.3124,-169.0299,24.29,2.8,ml,,227,1.605,0.44,us,us7000glha,2022-04-09T20:19:00.040Z,"181 km S of Nikolski, Alaska",earthquake,7.3,15.3,0.097,14,reviewed,us,us
2022-01-25T01:53:15.637Z,52.1793,-169.0257,10,2.5,ml,,218,0.801,0.57,us,us7000glh9,2022-04-09T20:19:00.040Z,"85 km S of Nikolski, Alaska",earthquake,3.2,2,0.105,12,reviewed,us,us
2022-01-24T20:59:38.832Z,53.1889,-166.8399,30,3.7,mb,,166,0.606,0.67,us,us7000geq0,2022-04-09T20:18:59.040Z,"78 km SSW of Unalaska, Alaska",earthquake,4.4,1.9,0.205,6,reviewed,us,us
2022-01-24T17:13:37.909Z,53.0638,-166.5843,29,2.8,ml,,243,0.752,0.31,us,us7000gkyg,2022-04-09T20:18:58.040Z,"90 km S of Unalaska, Alaska",earthquake,3.6,3.3,0.128,8,reviewed,us,us
2022-01-24T17:06:48.793Z,53.157,-166.6412,25.68,3.8,ml,,138,0.653,0.45,us,us7000ggr5,2022-04-09T20:18:58.040Z,"80 km S of Unalaska, Alaska",earthquake,2.9,6.3,0.105,12,reviewed,us,us
2022-01-24T16:54:22.193Z,53.1461,-166.7506,28.94,3.3,ml,,221,0.653,0.2,us,us7000gkyf,2022-04-09T20:18:58.040Z,"82 km S of Unalaska, Alaska",earthquake,5.3,13.1,0.105,12,reviewed,us,us
2022-01-24T07:40:14.683Z,53.1319,-166.7933,35,2.9,ml,,214,0.665,0.32,us,us7000gkyc,2022-04-09T20:18:57.040Z,"84 km SSW of Unalaska, Alaska",earthquake,3.8,2,0.094,15,reviewed,us,us
2022-01-24T06:09:21.978Z,53.2006,-166.7404,43.64,4.7,mww,,62,0.6,0.53,us,us7000gehv,2022-08-06T13:00:27.099Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,4.1,3.1,0.098,10,reviewed,us,us
2022-01-24T04:17:39.999Z,53.2238,-166.7456,26.51,2.7,ml,,233,0.576,0.81,us,us7000gky9,2022-04-09T20:18:56.040Z,"73 km S of Unalaska, Alaska",earthquake,4.8,16.2,0.121,9,reviewed,us,us
2022-01-24T03:10:39.389Z,53.1676,-166.8197,26.88,3.7,mb,,198,0.628,0.54,us,us7000gky6,2022-04-09T20:18:56.040Z,"80 km SSW of Unalaska, Alaska",earthquake,3.1,7.7,0.179,8,reviewed,us,us
2022-01-24T02:36:32.187Z,54.4718,-163.2386,8.41,2.6,ml,,193,0.374,0.38,us,us7000gky4,2022-04-09T20:18:56.040Z,"43 km SSE of False Pass, Alaska",earthquake,2.6,11.9,0.097,14,reviewed,us,us
2022-01-24T00:02:13.145Z,53.1991,-166.7085,28.05,3.5,ml,,235,0.604,0.38,us,us7000gehn,2022-04-09T20:18:55.040Z,"76 km S of Unalaska, Alaska",earthquake,5.6,15.9,0.115,10,reviewed,us,us
2022-01-23T22:41:46.374Z,54.4092,-159.9628,13.87,3,ml,,237,0.475,0.58,us,us7000gkk2,2022-04-09T20:18:55.040Z,"108 km SSE of Sand Point, Alaska",earthquake,3.3,4.8,0.115,10,reviewed,us,us
2022-01-23T21:28:46.097Z,52.2138,-168.0081,35.23,3.8,mb,,220,0.918,0.47,us,us7000ggnq,2022-04-09T20:18:55.040Z,"99 km SE of Nikolski, Alaska",earthquake,6.4,10.1,0.169,9,reviewed,us,us
2022-01-23T19:10:42.127Z,53.1216,-166.5848,38.98,4.6,mb,,101,0.695,1.02,us,us7000geew,2022-04-09T20:18:55.040Z,"83 km S of Unalaska, Alaska",earthquake,4.8,7.1,0.039,192,reviewed,us,us
2022-01-23T16:50:25.714Z,57.2748,-154.8068,39.2,2.5,ml,,,,0.54,ak,ak02212b6otn,2022-04-09T20:18:54.040Z,"38 km SSW of Karluk, Alaska",earthquake,,1,,,reviewed,ak,ak
2022-01-23T14:33:24.158Z,53.1911,-166.7413,24.25,3.3,ml,,208,0.609,0.39,us,us7000gkjz,2022-04-09T20:18:54.040Z,"77 km S of Unalaska, Alaska",earthquake,4.3,16.8,0.105,12,reviewed,us,us
